state_xs,state_ys,state_yaws,state_lasers1,state_lasers2,laser_values1,laser_values2
[0.],[0.],0.7853981,[[0.51194146]],[[0.50018033]],0,0
[2.2705021e-06],[-4.7142382e-08],0.78539807,[[0.50838888]],[[0.49529795]],0,0
[6.676203e-06],[-7.3569495e-08],0.78540033,[[0.50763236]],[[0.49917142]],0,0
[1.97533e-05],[-4.996807e-07],0.7854062,[[0.49983513]],[[0.5063318]],0,0
[5.216591e-05],[-1.8095028e-06],0.78542113,[[0.50007123]],[[0.50756895]],0,0
[0.00011808],[-3.3127008e-06],0.7854482,[[0.50944362]],[[0.49692767]],0,0
[0.00023436],[-2.6521586e-06],0.78548926,[[0.49639717]],[[0.49578374]],0,0
[0.00041917],[3.2068663e-06],0.78554046,[[0.51648832]],[[0.51062677]],0,0
[0.00069061],[1.6543321e-05],0.7855961,[[0.49804163]],[[0.49363507]],0,0
[0.00106591],[3.78736e-05],0.7856512,[[0.50405714]],[[0.48754224]],0,0
[0.00156104],[6.5649685e-05],0.7857025,[[0.48618672]],[[0.49777217]],0,0
[0.00219005],[9.700183e-05],0.7857502,[[0.49479959]],[[0.49564459]],0,0
[0.00296416],[0.00012934],0.785794,[[0.50581319]],[[0.5049933]],0,0
[0.00389146],[0.00016154],0.78583324,[[0.50709209]],[[0.50148372]],0,0
[0.00497745],[0.00019402],0.78586465,[[0.49143676]],[[0.49171155]],0,0
[0.00622506],[0.00022802],0.7858819,[[0.49190962]],[[0.49869931]],0,0
[0.00763442],[0.00026451],0.7858848,[[0.48398052]],[[0.50910281]],0,0
[0.00920337],[0.00030412],0.7858778,[[0.48229728]],[[0.50008652]],0,0
[0.01092775],[0.00034742],0.7858651,[[0.51114851]],[[0.49298772]],0,0
[0.01280196],[0.00039507],0.7858464,[[0.4896868]],[[0.49158547]],0,0
[0.01481931],[0.00044737],0.7858199,[[0.4866303]],[[0.51576614]],0,0
[0.01697225],[0.00050345],0.7857849,[[0.49307543]],[[0.49495143]],0,0
[0.01925245],[0.00056099],0.785748,[[0.50542268]],[[0.49770367]],0,0
[0.0216514],[0.00061699],0.7857165,[[0.48979535]],[[0.50983012]],0,0
[0.02416098],[0.0006691],0.78569305,[[0.49995537]],[[0.48446541]],0,0
[0.02677334],[0.00071644],0.78567755,[[0.51434474]],[[0.50424375]],0,0
[0.02948048],[0.00075994],0.7856688,[[0.48945062]],[[0.50393155]],0,0
